67780562	16	0
82145887	15	0
46063791	15	1
82667668	14	0
68513124	14	1
34227316	14	2
17939306	14	3
34933648	14	4
47211790	14	5
45588034	14	6
79839827	14	7
80331613	14	8
17308557	13	0
43796075	13	1
26550719	13	2
54248724	13	3
25675641	13	4
37935774	13	5
89241638	13	6
45078883	13	7
50270733	13	8
47749853	13	9
76353598	12	0
13652907	12	1
31734042	12	2
41285357	12	3
25821002	12	4
94771363	12	5
44711214	12	6
65513899	12	7
53983513	12	8
65340025	12	9
13396844	12	10
17882229	11	0
18798856	11	1
50480269	11	2
19124899	11	3
12493693	11	4
26243783	11	5
21823050	11	6
26312238	11	7
38917405	11	8
19008373	11	9
75201890	11	10
17064605	11	11
40624191	11	12
58218011	11	13
10815440	11	14
18821309	11	15
95317321	11	16
68139959	11	17
99243206	11	18
64604535	10	0
17479636	10	1
11893148	10	2
12554284	10	3
95128718	10	4
47536415	10	5
19993311	10	6
93361888	10	7
46576344	10	8
35802983	10	9
59057028	10	10
14027221	10	11
89633908	10	12
56296380	10	13
80299225	10	14
18819140	10	15
60101599	10	16
67469002	10	17
81119663	10	18
93380763	10	19
69175252	10	20
39305949	10	21
86944748	10	22
