38690018	20	0
88782471	20	1
16485380	20	2
22601746	20	3
96312088	20	4
22260840	18	0
44237248	18	1
71640525	18	2
76663724	18	3
34981760	18	4
52100153	18	5
68500959	18	6
32493613	18	7
81841520	18	8
59871483	18	9
90871924	18	10
21912238	16	0
73891308	16	1
34850727	16	2
29587963	16	3
62233223	16	4
42747309	16	5
64944942	16	6
86221988	16	7
80861996	16	8
58189606	16	9
78766102	16	10
17765003	16	11
75708486	16	12
79662312	16	13
72286665	16	14
80401748	16	15
86120863	16	16
29617252	14	0
16580492	14	1
88628546	14	2
85205721	14	3
17799550	14	4
52833291	14	5
37236895	14	6
96177028	14	7
47970281	14	8
96391664	14	9
27715455	14	10
22431808	14	11
18683558	14	12
96172488	14	13
11927571	14	14
54621633	14	15
80014809	12	0
22855698	12	1
95633959	12	2
61969779	12	3
25924717	12	4
39428414	12	5
59286717	12	6
68609081	12	7
67864424	12	8
67329745	12	9
27488736	12	10
18176474	12	11
62533519	12	12
12499202	12	13
15743094	10	0
57336008	10	1
32356338	10	2
76884449	10	3
78531127	10	4
29143489	10	5
47209408	10	6
69379076	10	7
61367554	10	8
14981562	10	9
28308820	10	10
55330887	10	11
10177039	10	12
22751207	10	13
61314544	10	14
